Fiscal Year,TIF Number,TIF District,Type,Activity,Amount
2014,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1111944
2010,T-112,79th Street/Southwest Highway,Revenues,Tax revenue,1741869
2008,T-155,79th/Vincennes,Revenues,Tax revenue,456913
2009,T-155,79th/Vincennes,Revenues,Tax revenue,520652
2007,T-155,79th/Vincennes,Revenues,Tax revenue,0
2011,T-155,79th/Vincennes,Revenues,Tax revenue,507239
2014,T-155,79th/Vincennes,Revenues,Tax revenue,64931
2013,T-155,79th/Vincennes,Revenues,Tax revenue,12351
2010,T-155,79th/Vincennes,Revenues,Tax revenue,575421
2012,T-155,79th/Vincennes,Revenues,Tax revenue,336783
2005,T-133,83rd/Stewart,Revenues,Tax revenue,0
2008,T-133,83rd/Stewart,Revenues,Tax revenue,22331
2009,T-133,83rd/Stewart,Revenues,Tax revenue,401291
2007,T-133,83rd/Stewart,Revenues,Tax revenue,133961
2004,T-133,83rd/Stewart,Revenues,Tax revenue,0
2006,T-133,83rd/Stewart,Revenues,Tax revenue,0
2013,T-133,83rd/Stewart,Revenues,Tax revenue,1086898
2014,T-133,83rd/Stewart,Revenues,Tax revenue,768701
2010,T-133,83rd/Stewart,Revenues,Tax revenue,414311
2011,T-133,83rd/Stewart,Revenues,Tax revenue,425972
2012,T-133,83rd/Stewart,Revenues,Tax revenue,401956
2005,T-127,87th/Cottage Grove,Revenues,Tax revenue,1170380
2006,T-127,87th/Cottage Grove,Revenues,Tax revenue,1558768
2009,T-127,87th/Cottage Grove,Revenues,Tax revenue,1917166
2007,T-127,87th/Cottage Grove,Revenues,Tax revenue,1839350
2008,T-127,87th/Cottage Grove,Revenues,Tax revenue,2126259
2003,T-127,87th/Cottage Grove,Revenues,Tax revenue,0
2002,T-127,87th/Cottage Grove,Revenues,Tax revenue,0
2004,T-127,87th/Cottage Grove,Revenues,Tax revenue,1661556
2011,T-127,87th/Cottage Grove,Revenues,Tax revenue,2854877
2014,T-127,87th/Cottage Grove,Revenues,Tax revenue,1418590
2010,T-127,87th/Cottage Grove,Revenues,Tax revenue,2150683
2013,T-127,87th/Cottage Grove,Revenues,Tax revenue,1400621
2012,T-127,87th/Cottage Grove,Revenues,Tax revenue,2014533
2009,T-049,89th and State,Revenues,Tax revenue,350367
2001,T-049,89th and State,Revenues,Tax revenue,252066
2003,T-049,89th and State,Revenues,Tax revenue,417479
2005,T-049,89th and State,Revenues,Tax revenue,305625
2004,T-049,89th and State,Revenues,Tax revenue,221113
2008,T-049,89th and State,Revenues,Tax revenue,345421
2002,T-049,89th and State,Revenues,Tax revenue,342777
2007,T-049,89th and State,Revenues,Tax revenue,317654
2006,T-049,89th and State,Revenues,Tax revenue,241497
2010,T-049,89th and State,Revenues,Tax revenue,365144
2012,T-049,89th and State,Revenues,Tax revenue,358015
2011,T-049,89th and State,Revenues,Tax revenue,468343
2013,T-049,89th and State,Revenues,Tax revenue,302449
2010,T-008,95th Street and Stony Island,Revenues,Tax revenue,957083
2008,T-008,95th Street and Stony Island,Revenues,Tax revenue,1368534
2003,T-008,95th Street and Stony Island,Revenues,Tax revenue,852229
2004,T-008,95th Street and Stony Island,Revenues,Tax revenue,914224
2005,T-008,95th Street and Stony Island,Revenues,Tax revenue,1115690
2002,T-008,95th Street and Stony Island,Revenues,Tax revenue,1362818
2007,T-008,95th Street and Stony Island,Revenues,Tax revenue,1151605
2001,T-008,95th Street and Stony Island,Revenues,Tax revenue,477409
2006,T-008,95th Street and Stony Island,Revenues,Tax revenue,838780
2009,T-008,95th Street and Stony Island,Revenues,Tax revenue,795183
2012,T-008,95th Street and Stony Island,Revenues,Tax revenue,1023822
2011,T-008,95th Street and Stony Island,Revenues,Tax revenue,1025658
2014,T-008,95th Street and Stony Island,Revenues,Tax revenue,971633
2013,T-008,95th Street and Stony Island,Revenues,Tax revenue,1028295
2007,T-009,95th and Western,Revenues,Tax revenue,845181
2002,T-009,95th and Western,Revenues,Tax revenue,364828
2009,T-009,95th and Western,Revenues,Tax revenue,870570
2008,T-009,95th and Western,Revenues,Tax revenue,924212
2003,T-009,95th and Western,Revenues,Tax revenue,444756
2006,T-009,95th and Western,Revenues,Tax revenue,690310
2001,T-009,95th and Western,Revenues,Tax revenue,357821
2005,T-009,95th and Western,Revenues,Tax revenue,632790
2010,T-009,95th and Western,Revenues,Tax revenue,921071
2004,T-009,95th and Western,Revenues,Tax revenue,683301
2012,T-009,95th and Western,Revenues,Tax revenue,922430
2014,T-009,95th and Western,Revenues,Tax revenue,570670
2011,T-009,95th and Western,Revenues,Tax revenue,1005452
2013,T-009,95th and Western,Revenues,Tax revenue,565674
2001,T-011,Addison Corridor North,Revenues,Tax revenue,158326
2002,T-011,Addison Corridor North,Revenues,Tax revenue,405616
2006,T-011,Addison Corridor North,Revenues,Tax revenue,1362689
2008,T-011,Addison Corridor North,Revenues,Tax revenue,1747007
2003,T-011,Addison Corridor North,Revenues,Tax revenue,1064962
2010,T-011,Addison Corridor North,Revenues,Tax revenue,1561081
2004,T-011,Addison Corridor North,Revenues,Tax revenue,1200456
2009,T-011,Addison Corridor North,Revenues,Tax revenue,1636880
2007,T-011,Addison Corridor North,Revenues,Tax revenue,1697243
2005,T-011,Addison Corridor North,Revenues,Tax revenue,1530164
2012,T-011,Addison Corridor North,Revenues,Tax revenue,1527279
2011,T-011,Addison Corridor North,Revenues,Tax revenue,1696783
2014,T-011,Addison Corridor North,Revenues,Tax revenue,1250442
2013,T-011,Addison Corridor North,Revenues,Tax revenue,1339117
2009,T-150,Addison South,Revenues,Tax revenue,1775830
2007,T-150,Addison South,Revenues,Tax revenue,0
2008,T-150,Addison South,Revenues,Tax revenue,1186301
2010,T-150,Addison South,Revenues,Tax revenue,2451158
2013,T-150,Addison South,Revenues,Tax revenue,2203397
2011,T-150,Addison South,Revenues,Tax revenue,3011361
2014,T-150,Addison South,Revenues,Tax revenue,1813584
2012,T-150,Addison South,Revenues,Tax revenue,2967567
2005,T-080,Addison/Kimball,Revenues,Tax revenue,463318
2002,T-080,Addison/Kimball,Revenues,Tax revenue,12977
2006,T-080,Addison/Kimball,Revenues,Tax revenue,507722
2007,T-080,Addison/Kimball,Revenues,Tax revenue,521414
2008,T-080,Addison/Kimball,Revenues,Tax revenue,443352
2003,T-080,Addison/Kimball,Revenues,Tax revenue,17552
2004,T-080,Addison/Kimball,Revenues,Tax revenue,134491
2001,T-080,Addison/Kimball,Revenues,Tax revenue,10076
2005,T-067,Archer Courts,Revenues,Tax revenue,278093
2001,T-067,Archer Courts,Revenues,Tax revenue,432
2007,T-067,Archer Courts,Revenues,Tax revenue,319217
2004,T-067,Archer Courts,Revenues,Tax revenue,181111
2008,T-067,Archer Courts,Revenues,Tax revenue,237612
2009,T-067,Archer Courts,Revenues,Tax revenue,293183
2002,T-067,Archer Courts,Revenues,Tax revenue,178571
2006,T-067,Archer Courts,Revenues,Tax revenue,292999
2010,T-067,Archer Courts,Revenues,Tax revenue,266473
2003,T-067,Archer Courts,Revenues,Tax revenue,419993
2014,T-067,Archer Courts,Revenues,Tax revenue,309505
2013,T-067,Archer Courts,Revenues,Tax revenue,377836
2012,T-067,Archer Courts,Revenues,Tax revenue,304957
2011,T-067,Archer Courts,Revenues,Tax revenue,316292
2003,T-099,Archer/Central,Revenues,Tax revenue,261432
2007,T-099,Archer/Central,Revenues,Tax revenue,906319
2006,T-099,Archer/Central,Revenues,Tax revenue,560205
2001,T-099,Archer/Central,Revenues,Tax revenue,0
2002,T-099,Archer/Central,Revenues,Tax revenue,178571
2004,T-099,Archer/Central,Revenues,Tax revenue,333963
2008,T-099,Archer/Central,Revenues,Tax revenue,819792
2005,T-099,Archer/Central,Revenues,Tax revenue,409746
2009,T-099,Archer/Central,Revenues,Tax revenue,908401
2011,T-099,Archer/Central,Revenues,Tax revenue,1058860
2010,T-099,Archer/Central,Revenues,Tax revenue,937919
2013,T-099,Archer/Central,Revenues,Tax revenue,389022
2014,T-099,Archer/Central,Revenues,Tax revenue,385659
2012,T-099,Archer/Central,Revenues,Tax revenue,752002
2008,T-163,Archer/Western,Revenues,Tax revenue,0
2009,T-163,Archer/Western,Revenues,Tax revenue,0
2014,T-163,Archer/Western,Revenues,Tax revenue,-6736
2011,T-163,Archer/Western,Revenues,Tax revenue,490017
2012,T-163,Archer/Western,Revenues,Tax revenue,17336
2013,T-163,Archer/Western,Revenues,Tax revenue,150544
2010,T-163,Archer/Western,Revenues,Tax revenue,492203
2008,T-151,Armitage/Pulaski,Revenues,Tax revenue,253385
2009,T-151,Armitage/Pulaski,Revenues,Tax revenue,255810
2007,T-151,Armitage/Pulaski,Revenues,Tax revenue,0
2011,T-151,Armitage/Pulaski,Revenues,Tax revenue,418118
2010,T-151,Armitage/Pulaski,Revenues,Tax revenue,383739
2012,T-151,Armitage/Pulaski,Revenues,Tax revenue,252216
2013,T-151,Armitage/Pulaski,Revenues,Tax revenue,20637
2014,T-151,Armitage/Pulaski,Revenues,Tax revenue,3515
2007,T-156,Austin Commercial,Revenues,Tax revenue,0
2008,T-156,Austin Commercial,Revenues,Tax revenue,1047185
2009,T-156,Austin Commercial,Revenues,Tax revenue,1128712
2013,T-156,Austin Commercial,Revenues,Tax revenue,553732
2011,T-156,Austin Commercial,Revenues,Tax revenue,1681670
2012,T-156,Austin Commercial,Revenues,Tax revenue,872721
2010,T-156,Austin Commercial,Revenues,Tax revenue,1538808
2014,T-156,Austin Commercial,Revenues,Tax revenue,503688
2008,T-123,Avalon Park/South Shore,Revenues,Tax revenue,771754
2002,T-123,Avalon Park/South Shore,Revenues,Tax revenue,0
2007,T-123,Avalon Park/South Shore,Revenues,Tax revenue,703851
2005,T-123,Avalon Park/South Shore,Revenues,Tax revenue,427385
2004,T-123,Avalon Park/South Shore,Revenues,Tax revenue,316733
2003,T-123,Avalon Park/South Shore,Revenues,Tax revenue,71195
2009,T-123,Avalon Park/South Shore,Revenues,Tax revenue,700307
2006,T-123,Avalon Park/South Shore,Revenues,Tax revenue,425351
2012,T-123,Avalon Park/South Shore,Revenues,Tax revenue,632085
2011,T-123,Avalon Park/South Shore,Revenues,Tax revenue,943252
2014,T-123,Avalon Park/South Shore,Revenues,Tax revenue,346779
2013,T-123,Avalon Park/South Shore,Revenues,Tax revenue,388028
2010,T-123,Avalon Park/South Shore,Revenues,Tax revenue,872062
2009,T-167,Avondale,Revenues,Tax revenue,0
2012,T-167,Avondale,Revenues,Tax revenue,29122
2014,T-167,Avondale,Revenues,Tax revenue,-3442
2011,T-167,Avondale,Revenues,Tax revenue,249987
2010,T-167,Avondale,Revenues,Tax revenue,257032
2013,T-167,Avondale,Revenues,Tax revenue,-13488
2008,T-081,Belmont/Central,Revenues,Tax revenue,3150445
2003,T-081,Belmont/Central,Revenues,Tax revenue,801077
2001,T-081,Belmont/Central,Revenues,Tax revenue,0
2007,T-081,Belmont/Central,Revenues,Tax revenue,3073595
2005,T-081,Belmont/Central,Revenues,Tax revenue,1946734
2009,T-081,Belmont/Central,Revenues,Tax revenue,3410246
2002,T-081,Belmont/Central,Revenues,Tax revenue,221264
2006,T-081,Belmont/Central,Revenues,Tax revenue,2216650
2004,T-081,Belmont/Central,Revenues,Tax revenue,1924246
2010,T-081,Belmont/Central,Revenues,Tax revenue,3750669
2014,T-081,Belmont/Central,Revenues,Tax revenue,2094902
2013,T-081,Belmont/Central,Revenues,Tax revenue,2382654
2011,T-081,Belmont/Central,Revenues,Tax revenue,4051739
2012,T-081,Belmont/Central,Revenues,Tax revenue,2832767
2009,T-082,Belmont/Cicero,Revenues,Tax revenue,1380889
2005,T-082,Belmont/Cicero,Revenues,Tax revenue,901228
2004,T-082,Belmont/Cicero,Revenues,Tax revenue,833865
2008,T-082,Belmont/Cicero,Revenues,Tax revenue,1198787
2010,T-082,Belmont/Cicero,Revenues,Tax revenue,1545924
2007,T-082,Belmont/Cicero,Revenues,Tax revenue,1284084
2001,T-082,Belmont/Cicero,Revenues,Tax revenue,167492
2003,T-082,Belmont/Cicero,Revenues,Tax revenue,277384
2002,T-082,Belmont/Cicero,Revenues,Tax revenue,179018
2006,T-082,Belmont/Cicero,Revenues,Tax revenue,920972
2011,T-082,Belmont/Cicero,Revenues,Tax revenue,1432012
2012,T-082,Belmont/Cicero,Revenues,Tax revenue,1144009
2014,T-082,Belmont/Cicero,Revenues,Tax revenue,886616
2013,T-082,Belmont/Cicero,Revenues,Tax revenue,982468
2002,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2008,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2007,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2003,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2001,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2006,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2005,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,80
2004,T-012,Bloomingdale/Laramie,Revenues,Tax revenue,0
2003,T-061,Bronzeville,Revenues,Tax revenue,1236730
2001,T-061,Bronzeville,Revenues,Tax revenue,585355
2004,T-061,Bronzeville,Revenues,Tax revenue,2394202
2006,T-061,Bronzeville,Revenues,Tax revenue,2597496
2002,T-061,Bronzeville,Revenues,Tax revenue,766686
2010,T-061,Bronzeville,Revenues,Tax revenue,3670225
2008,T-061,Bronzeville,Revenues,Tax revenue,4938614
2005,T-061,Bronzeville,Revenues,Tax revenue,2711072
2009,T-061,Bronzeville,Revenues,Tax revenue,4251688
2007,T-061,Bronzeville,Revenues,Tax revenue,4329444
2011,T-061,Bronzeville,Revenues,Tax revenue,4591200
2014,T-061,Bronzeville,Revenues,Tax revenue,3125574
2012,T-061,Bronzeville,Revenues,Tax revenue,3842884
2013,T-061,Bronzeville,Revenues,Tax revenue,2980379
2008,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,1838281
2004,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,850064
2006,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,973528
2002,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,259395
2001,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,417994
2007,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,1458301
2009,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,1805422
2010,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,2100457
2005,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,727311
2003,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,531534
2013,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,1732136
2011,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,2451741
2012,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,2006168
2014,T-013,Bryn Mawr/Broadway,Revenues,Tax revenue,1632850
2014,T-168,Calumet River,Revenues,Tax revenue,0
2012,T-168,Calumet River,Revenues,Tax revenue,0
2013,T-168,Calumet River,Revenues,Tax revenue,0
2011,T-168,Calumet River,Revenues,Tax revenue,0
2010,T-168,Calumet River,Revenues,Tax revenue,0
2006,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,10817907
2008,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,9572334
2005,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,10801785
2004,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,10446636
2001,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,460594
2007,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,8118702
2002,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,632384
2010,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,6890603
2003,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,11698494
2009,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,7255879
2013,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,4504076
2012,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,13038537
2014,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,8978246
2011,T-059,Calumet Avenue/Cermak Road,Revenues,Tax revenue,8868044
2010,T-063,Canal/Congress,Revenues,Tax revenue,17342245
2007,T-063,Canal/Congress,Revenues,Tax revenue,16371002
2002,T-063,Canal/Congress,Revenues,Tax revenue,1327302
2003,T-063,Canal/Congress,Revenues,Tax revenue,4777867
2005,T-063,Canal/Congress,Revenues,Tax revenue,15682695
2001,T-063,Canal/Congress,Revenues,Tax revenue,1113613
2004,T-063,Canal/Congress,Revenues,Tax revenue,10426375
2009,T-063,Canal/Congress,Revenues,Tax revenue,19659528
2006,T-063,Canal/Congress,Revenues,Tax revenue,12883154
2008,T-063,Canal/Congress,Revenues,Tax revenue,18279866
2014,T-063,Canal/Congress,Revenues,Tax revenue,19594590
2012,T-063,Canal/Congress,Revenues,Tax revenue,18858179
2013,T-063,Canal/Congress,Revenues,Tax revenue,16861700
2011,T-063,Canal/Congress,Revenues,Tax revenue,21072969
2003,T-014,Central Loop,Revenues,Tax revenue,63495185
2008,T-014,Central Loop,Revenues,Tax revenue,103053804
2007,T-014,Central Loop,Revenues,Tax revenue,112141079
2004,T-014,Central Loop,Revenues,Tax revenue,72472186
2005,T-014,Central Loop,Revenues,Tax revenue,89348830
2001,T-014,Central Loop,Revenues,Tax revenue,50571696
2002,T-014,Central Loop,Revenues,Tax revenue,53400347
2006,T-014,Central Loop,Revenues,Tax revenue,94519209
2004,T-086,Central West,Revenues,Tax revenue,5331903
2009,T-086,Central West,Revenues,Tax revenue,14329169
2005,T-086,Central West,Revenues,Tax revenue,7543627
2010,T-086,Central West,Revenues,Tax revenue,13356634
2003,T-086,Central West,Revenues,Tax revenue,3078522
2001,T-086,Central West,Revenues,Tax revenue,872761
2006,T-086,Central West,Revenues,Tax revenue,8056466
2008,T-086,Central West,Revenues,Tax revenue,13948078
2007,T-086,Central West,Revenues,Tax revenue,10963392
2002,T-086,Central West,Revenues,Tax revenue,1397263
2011,T-086,Central West,Revenues,Tax revenue,17043984
2014,T-086,Central West,Revenues,Tax revenue,14792414
2013,T-086,Central West,Revenues,Tax revenue,12914078
2012,T-086,Central West,Revenues,Tax revenue,14583434
2010,T-015,Chatham-Ridge,Revenues,Tax revenue,926986
2001,T-015,Chatham-Ridge,Revenues,Tax revenue,1494443
2004,T-015,Chatham-Ridge,Revenues,Tax revenue,1566238
2008,T-015,Chatham-Ridge,Revenues,Tax revenue,1656569
2002,T-015,Chatham-Ridge,Revenues,Tax revenue,1272093
2007,T-015,Chatham-Ridge,Revenues,Tax revenue,1722927
2009,T-015,Chatham-Ridge,Revenues,Tax revenue,1668711
2003,T-015,Chatham-Ridge,Revenues,Tax revenue,1999824
2006,T-015,Chatham-Ridge,Revenues,Tax revenue,1709844
2005,T-015,Chatham-Ridge,Revenues,Tax revenue,1621122
2011,T-015,Chatham-Ridge,Revenues,Tax revenue,580286
2013,T-170,Chicago Lakeside Development Ph.1,Revenues,Tax revenue,0
2011,T-170,Chicago Lakeside Development Ph.1,Revenues,Tax revenue,0
2012,T-170,Chicago Lakeside Development Ph.1,Revenues,Tax revenue,0
2014,T-170,Chicago Lakeside Development Ph.1,Revenues,Tax revenue,0
2010,T-170,Chicago Lakeside Development Ph.1,Revenues,Tax revenue,0
2004,T-115,Chicago/Central Park,Revenues,Tax revenue,1931119
2009,T-115,Chicago/Central Park,Revenues,Tax revenue,6385328
2008,T-115,Chicago/Central Park,Revenues,Tax revenue,6376991
2003,T-115,Chicago/Central Park,Revenues,Tax revenue,438317
2007,T-115,Chicago/Central Park,Revenues,Tax revenue,5127981
2005,T-115,Chicago/Central Park,Revenues,Tax revenue,2420796
2006,T-115,Chicago/Central Park,Revenues,Tax revenue,2657142
2002,T-115,Chicago/Central Park,Revenues,Tax revenue,0
2013,T-115,Chicago/Central Park,Revenues,Tax revenue,4272824
2011,T-115,Chicago/Central Park,Revenues,Tax revenue,7197963
2010,T-115,Chicago/Central Park,Revenues,Tax revenue,6114888
2014,T-115,Chicago/Central Park,Revenues,Tax revenue,4559975
2012,T-115,Chicago/Central Park,Revenues,Tax revenue,5787328
2008,T-094,Chicago/Kingsbury,Revenues,Tax revenue,11346295
2005,T-094,Chicago/Kingsbury,Revenues,Tax revenue,6458316
2007,T-094,Chicago/Kingsbury,Revenues,Tax revenue,9830628
2006,T-094,Chicago/Kingsbury,Revenues,Tax revenue,8393021
2001,T-094,Chicago/Kingsbury,Revenues,Tax revenue,181097
2009,T-094,Chicago/Kingsbury,Revenues,Tax revenue,11673687
2004,T-094,Chicago/Kingsbury,Revenues,Tax revenue,4743215
2003,T-094,Chicago/Kingsbury,Revenues,Tax revenue,2842894
2002,T-094,Chicago/Kingsbury,Revenues,Tax revenue,614609
2010,T-094,Chicago/Kingsbury,Revenues,Tax revenue,14780288
2012,T-094,Chicago/Kingsbury,Revenues,Tax revenue,15359111
2011,T-094,Chicago/Kingsbury,Revenues,Tax revenue,16665268
2013,T-094,Chicago/Kingsbury,Revenues,Tax revenue,18446757
2014,T-094,Chicago/Kingsbury,Revenues,Tax revenue,19170514
2004,T-016,Chinatown Basin,Revenues,Tax revenue,1649261
2003,T-016,Chinatown Basin,Revenues,Tax revenue,1861302
2009,T-016,Chinatown Basin,Revenues,Tax revenue,2662171
2010,T-016,Chinatown Basin,Revenues,Tax revenue,2172889
2008,T-016,Chinatown Basin,Revenues,Tax revenue,2467462
2001,T-016,Chinatown Basin,Revenues,Tax revenue,1389644
2006,T-016,Chinatown Basin,Revenues,Tax revenue,2312843
2005,T-016,Chinatown Basin,Revenues,Tax revenue,2306929
2002,T-016,Chinatown Basin,Revenues,Tax revenue,1639661
2007,T-016,Chinatown Basin,Revenues,Tax revenue,2346549
